ID;TravelMotives;TravelModes;RegionCharacteristics;Periods;Trips_1;DistanceTravelled_2;TimeTravelled_3
9930;2030170;A048583;PV20    ;2018JJ00;    0.27;    6.80;    7.77
9931;2030170;A048583;PV20    ;2019JJ00;    0.24;    6.80;    7.12
9932;2030170;A048583;PV20    ;2020JJ00;    0.18;    4.24;    4.96
9933;2030170;A048583;PV20    ;2021JJ00;    0.17;    3.96;    4.53
9934;2030170;A048583;PV20    ;2022JJ00;    0.20;    4.98;    5.82
9935;2030170;A048583;PV20    ;2023JJ00;    0.18;    4.33;    4.92
9936;2030170;A048583;PV21    ;2018JJ00;    0.33;    8.69;    9.03
9937;2030170;A048583;PV21    ;2019JJ00;    0.29;    8.23;    8.22
9938;2030170;A048583;PV21    ;2020JJ00;    0.24;    5.83;    6.35
9939;2030170;A048583;PV21    ;2021JJ00;    0.25;    6.86;    6.90
9940;2030170;A048583;PV21    ;2022JJ00;    0.26;    6.87;    7.59
9941;2030170;A048583;PV21    ;2023JJ00;    0.28;    7.93;    8.36
9942;2030170;A048583;PV22    ;2018JJ00;    0.33;    9.00;    9.57
9943;2030170;A048583;PV22    ;2019JJ00;    0.27;    7.18;    7.37
9944;2030170;A048583;PV22    ;2020JJ00;    0.24;    6.10;    6.90
9945;2030170;A048583;PV22    ;2021JJ00;    0.25;    6.80;    7.22
9946;2030170;A048583;PV22    ;2022JJ00;    0.26;    5.26;    6.16
9947;2030170;A048583;PV22    ;2023JJ00;    0.29;    7.57;    7.98
9948;2030170;A048583;PV23    ;2018JJ00;    0.33;    8.15;    9.74
9949;2030170;A048583;PV23    ;2019JJ00;    0.28;    6.83;    8.02
9950;2030170;A048583;PV23    ;2020JJ00;    0.22;    5.38;    6.47
9951;2030170;A048583;PV23    ;2021JJ00;    0.23;    5.28;    5.94
9952;2030170;A048583;PV23    ;2022JJ00;    0.24;    5.79;    6.81
9953;2030170;A048583;PV23    ;2023JJ00;    0.28;    6.78;    7.97
9954;2030170;A048583;PV24    ;2018JJ00;    0.32;    9.70;   10.25
9955;2030170;A048583;PV24    ;2019JJ00;    0.30;    9.66;   10.04
9956;2030170;A048583;PV24    ;2020JJ00;    0.22;    7.05;    7.05
